mean,bias,CI,miss_percent,std,accuracy_a,accuracy_b
0.09667344827586206,0.00031316708078296673,"(0.09536724704371265, 0.09797964950801148)",0.28646748681898065,0.013388293594180877,0.9754098360655737,0.9122807017543859
0.0956920725388601,-0.0006682086562189993,"(0.09432849698641428, 0.09705564809130592)",0.3216168717047452,0.01362565398806665,0.9224137931034483,0.9298245614035088
0.0957506835443038,-0.0006095976507752981,"(0.09434131640509688, 0.09716005068351072)",0.30579964850615116,0.014247493529270568,0.9243697478991597,0.9064327485380117
0.09520452127659573,-0.001155759918483365,"(0.09384968360264664, 0.09655935895054482)",0.3391915641476274,0.01336069849609466,0.9292035398230089,0.9239766081871345
0.09543383333333334,-0.000926447861745755,"(0.09408971132848544, 0.09677795533818125)",0.2618629173989455,0.014013897868919593,0.9444444444444444,0.9122807017543859
0.09495085510688837,-0.001409426088190724,"(0.09368225416931181, 0.09621945604446494)",0.2601054481546573,0.013242338440105257,0.9291338582677166,0.9181286549707602
0.09563257756563247,-0.0007277036294466299,"(0.0942988519340243, 0.09696630319724063)",0.26362038664323373,0.013888844359646383,0.9365079365079365,0.9239766081871345
0.09600126520681265,-0.0003590159882664451,"(0.09468599481830585, 0.09731653559531946)",0.27768014059753954,0.013564504966297639,0.9112903225806451,0.9239766081871345
0.09527745635910224,-0.0010828248359768533,"(0.09400435368879745, 0.09655055902940704)",0.29525483304042177,0.012967954137554456,0.9586776859504132,0.9239766081871345
0.09524921052631578,-0.0011110706687633143,"(0.09384760070531623, 0.09665082034731534)",0.3321616871704745,0.013895742154873105,0.9473684210526315,0.9298245614035088
0.0955045145631068,-0.0008557666319723017,"(0.09420915800529522, 0.09679987112091837)",0.2759226713532513,0.013375470249178109,0.9596774193548387,0.9181286549707602
0.09513216748768473,-0.0012281137073943682,"(0.09381558479299743, 0.09644875018237203)",0.28646748681898065,0.013494701446947576,0.9508196721311475,0.9415204678362573
0.09522827669902914,-0.001132004496049957,"(0.0939163837377468, 0.09654016966031148)",0.2759226713532513,0.013546220280370532,0.9112903225806451,0.9181286549707602
0.09525547738693468,-0.001104803808144414,"(0.09386816191804663, 0.09664279285582274)",0.30052724077328646,0.014078054939509222,0.9083333333333333,0.9298245614035088
0.09595665803108809,-0.00040362316399100706,"(0.0946308030777394, 0.09728251298443678)",0.3216168717047452,0.013248727435960176,0.9310344827586207,0.9122807017543859
0.09568219072164949,-0.0006780904734296073,"(0.09434904989771259, 0.09701533154558639)",0.3181019332161687,0.013356216974908873,0.9230769230769231,0.9122807017543859
0.09573321078431374,-0.0006270704107653596,"(0.0943597324062076, 0.09710668916241988)",0.28295254833040423,0.014112710295220997,0.9105691056910569,0.9239766081871345
0.09491435643564355,-0.0014459247594355434,"(0.09356931848600776, 0.09625939438527935)",0.28998242530755713,0.013752158913090751,0.9590163934426229,0.9298245614035088
0.09577492346938775,-0.0005853577256913489,"(0.09443269820563537, 0.09711714873314013)",0.3110720562390158,0.01351680208529569,0.9576271186440678,0.9298245614035088
0.09610806045340049,-0.00025222074167860487,"(0.09473697662008813, 0.09747914428671285)",0.3022847100175747,0.013895743880639716,0.9166666666666666,0.9064327485380117
0.09561415233415235,-0.0007461288609267452,"(0.09428175228251807, 0.09694655238578663)",0.28471001757469244,0.013673735447566537,0.9349593495934959,0.9239766081871345
0.0953570975609756,-0.0010031836341034966,"(0.09408390885193998, 0.09663028627001122)",0.27943760984182775,0.013114434202998853,0.943089430894309,0.9298245614035088
0.09586021582733813,-0.0005000653677409705,"(0.0945507790737617, 0.09716965258091455)",0.2671353251318102,0.013603137671898137,0.9365079365079365,0.9122807017543859
0.09532701005025127,-0.0010332711448278326,"(0.09398593509805601, 0.09666808500244652)",0.30052724077328646,0.01360882025638812,0.9166666666666666,0.9298245614035088
0.09548363408521304,-0.000876647109866055,"(0.09410322064904562, 0.09686404752138046)",0.29876977152899825,0.014025709938281382,0.9166666666666666,0.9122807017543859
0.09569133663366337,-0.0006689445614157241,"(0.09433941179157007, 0.09704326147575668)",0.28998242530755713,0.01382257301517506,0.9098360655737705,0.9122807017543859
0.09551997536945812,-0.0008403058256209739,"(0.09419830525019113, 0.09684164548872512)",0.28646748681898065,0.01354684650104402,0.9344262295081968,0.9239766081871345
0.09558044887780548,-0.0007798323172736182,"(0.09422909953118683, 0.09693179822442413)",0.29525483304042177,0.01376498279323316,0.9586776859504132,0.9298245614035088
0.09591593220338984,-0.0004443489916892557,"(0.0945757816782383, 0.09725608272854139)",0.2741652021089631,0.013854882386261532,0.9274193548387096,0.9298245614035088
0.09500778645833334,-0.0013524947367457574,"(0.09364837746270822, 0.09636719545395846)",0.3251318101933216,0.013548558720037797,0.9568965517241379,0.935672514619883
0.09566588235294118,-0.0006943988421379138,"(0.09426357576883491, 0.09706818893704745)",0.31282952548330406,0.01410371121104602,0.940677966101695,0.9298245614035088
0.09572925742574256,-0.0006310237693365334,"(0.0944046256007451, 0.09705388925074003)",0.28998242530755713,0.013543519246899447,0.9180327868852459,0.9181286549707602
0.09525894999999998,-0.0011013311950791166,"(0.09390556370450143, 0.09661233629549854)",0.29701230228471004,0.013768426719612278,0.9666666666666667,0.9181286549707602
