type,MCAR,MAR,MNAR,mean,bias,miss_percent,std,accuracy_a,accuracy_b,percent_bias,median,bias_median,percent_bias_median,iqr,bias_iqr,percent_bias_iqr,bias_std
sigmoid-right,0,0,10,0.0949,-0.0015,0.1019,0.0131,0.9245,0.9257,0.0151,0.0945,-0.0014,0.0146,0.0186,-0.0003,0.0192,-0.001
sigmoid-right,0,0,20,0.0938,-0.0026,0.1981,0.0126,0.9157,0.9257,0.0265,0.0935,-0.0023,0.0243,0.0178,-0.0012,0.061,-0.0014
sigmoid-right,0,10,0,0.0955,-0.0009,0.1027,0.0136,0.9247,0.9253,0.0089,0.0948,-0.001,0.0108,0.0187,-0.0002,0.0183,-0.0005
sigmoid-right,0,10,10,0.0944,-0.002,0.1968,0.013,0.9166,0.9249,0.0207,0.094,-0.0018,0.0191,0.0182,-0.0007,0.0377,-0.0011
sigmoid-right,0,10,20,0.0933,-0.0031,0.2959,0.0126,0.9226,0.9225,0.032,0.0927,-0.0031,0.0328,0.0173,-0.0017,0.0879,-0.0015
sigmoid-right,0,20,0,0.0949,-0.0015,0.1963,0.0133,0.9139,0.924,0.0155,0.0944,-0.0015,0.0156,0.0185,-0.0004,0.0246,-0.0008
sigmoid-right,0,20,10,0.0938,-0.0026,0.2949,0.0128,0.9219,0.9223,0.0267,0.0933,-0.0025,0.0265,0.0178,-0.0012,0.0615,-0.0012
sigmoid-right,0,20,20,0.0928,-0.0036,0.393,0.0125,0.9231,0.9199,0.0373,0.092,-0.0039,0.0402,0.017,-0.0019,0.1029,-0.0015
sigmoid-right,10,0,0,0.0964,-0.0,0.0996,0.0141,0.9226,0.9255,0.0016,0.0959,-0.0,0.0025,0.019,0.0001,0.0155,-0.0
sigmoid-right,10,0,10,0.0951,-0.0013,0.199,0.0134,0.918,0.9255,0.0134,0.0945,-0.0014,0.0144,0.0187,-0.0003,0.021,-0.0006
sigmoid-right,10,0,20,0.0939,-0.0024,0.2983,0.013,0.9274,0.9237,0.025,0.0935,-0.0024,0.025,0.018,-0.0009,0.0506,-0.001
sigmoid-right,10,10,0,0.0956,-0.0007,0.198,0.0137,0.9169,0.925,0.0077,0.095,-0.0009,0.0095,0.0188,-0.0001,0.0219,-0.0004
sigmoid-right,10,10,10,0.0945,-0.0019,0.2973,0.0133,0.9276,0.9236,0.0197,0.094,-0.0019,0.0197,0.0183,-0.0006,0.0333,-0.0008
