type,MCAR,MAR,MNAR,mean,bias,miss_percent,std,accuracy_a,accuracy_b,percent_bias,median,bias_median,percent_bias_median,iqr,bias_iqr,percent_bias_iqr,bias_std
sigmoid-right,0,0,10,0.0002,0.0002,0.0121,0.0002,0.0176,0.0068,0.0023,0.0002,0.0002,0.0016,0.0003,0.0003,0.0114,0.0002
sigmoid-right,0,0,20,0.0003,0.0003,0.0156,0.0003,0.0208,0.0084,0.0031,0.0004,0.0004,0.0044,0.0005,0.0005,0.0266,0.0003
sigmoid-right,0,10,0,0.0002,0.0002,0.0118,0.0002,0.0179,0.0068,0.0023,0.0002,0.0002,0.0024,0.0003,0.0003,0.012,0.0002
sigmoid-right,0,10,10,0.0003,0.0003,0.0154,0.0003,0.0206,0.0083,0.0031,0.0003,0.0003,0.003,0.0004,0.0004,0.0193,0.0003
sigmoid-right,0,10,20,0.0004,0.0004,0.0175,0.0003,0.0209,0.0093,0.0038,0.0006,0.0006,0.0057,0.0006,0.0006,0.032,0.0003
sigmoid-right,0,20,0,0.0003,0.0003,0.0146,0.0003,0.0215,0.0081,0.0031,0.0003,0.0003,0.0026,0.0004,0.0004,0.0163,0.0003
sigmoid-right,0,20,10,0.0004,0.0004,0.0174,0.0003,0.0215,0.0089,0.0038,0.0005,0.0005,0.0057,0.0006,0.0006,0.0318,0.0003
sigmoid-right,0,20,20,0.0004,0.0004,0.0186,0.0004,0.0234,0.01,0.0044,0.0007,0.0007,0.0068,0.0006,0.0006,0.0321,0.0004
sigmoid-right,10,0,0,0.0002,0.0002,0.0124,0.0002,0.0175,0.0071,0.0012,0.0004,0.0004,0.0029,0.0004,0.0004,0.0118,0.0002
sigmoid-right,10,0,10,0.0003,0.0003,0.0166,0.0003,0.0205,0.0078,0.0032,0.0003,0.0003,0.0029,0.0004,0.0004,0.0156,0.0003
sigmoid-right,10,0,20,0.0004,0.0004,0.0181,0.0004,0.0222,0.0088,0.004,0.0005,0.0005,0.0057,0.0006,0.0006,0.031,0.0004
sigmoid-right,10,10,0,0.0003,0.0003,0.0161,0.0003,0.0214,0.0082,0.0032,0.0004,0.0004,0.0043,0.0005,0.0005,0.016,0.0003
sigmoid-right,10,10,10,0.0004,0.0004,0.0179,0.0004,0.0212,0.0088,0.004,0.0004,0.0004,0.0045,0.0005,0.0005,0.023,0.0004
sigmoid-right,10,10,20,0.0005,0.0005,0.0192,0.0004,0.0241,0.0095,0.0048,0.0007,0.0007,0.0073,0.0007,0.0007,0.0379,0.0004
sigmoid-right,10,20,0,0.0004,0.0004,0.0187,0.0004,0.0216,0.0084,0.0039,0.0004,0.0004,0.0038,0.0005,0.0005,0.021,0.0004
sigmoid-right,10,20,10,0.0004,0.0004,0.0192,0.0004,0.0242,0.0092,0.0045,0.0006,0.0006,0.0068,0.0007,0.0007,0.0347,0.0004
sigmoid-right,10,20,20,0.0005,0.0005,0.0196,0.0005,0.0264,0.0113,0.0055,0.0008,0.0008,0.0084,0.0008,0.0008,0.0403,0.0005
sigmoid-right,20,0,0,0.0003,0.0003,0.0169,0.0003,0.0209,0.0079,0.0018,0.0005,0.0005,0.0038,0.0005,0.0005,0.018,0.0003
sigmoid-right,20,0,10,0.0004,0.0004,0.0185,0.0004,0.0213,0.0085,0.0038,0.0004,0.0004,0.0038,0.0006,0.0006,0.0197,0.0004
sigmoid-right,20,0,20,0.0004,0.0004,0.0197,0.0004,0.024,0.0096,0.0046,0.0007,0.0007,0.0069,0.0007,0.0007,0.0324,0.0004
sigmoid-right,20,10,0,0.0004,0.0004,0.0186,0.0004,0.0215,0.0085,0.0038,0.0006,0.0006,0.0051,0.0006,0.0006,0.0205,0.0004
sigmoid-right,20,10,10,0.0005,0.0005,0.0193,0.0004,0.0244,0.0093,0.0049,0.0006,0.0006,0.006,0.0007,0.0007,0.027,0.0004
sigmoid-right,20,10,20,0.0005,0.0005,0.0202,0.0005,0.0248,0.0107,0.0056,0.0008,0.0008,0.0085,0.0009,0.0009,0.0422,0.0005
sigmoid-right,20,20,0,0.0005,0.0005,0.0205,0.0004,0.0237,0.0091,0.0049,0.0005,0.0005,0.0051,0.0007,0.0007,0.0246,0.0004
sigmoid-right,20,20,10,0.0005,0.0005,0.0197,0.0005,0.0253,0.0104,0.0057,0.0008,0.0008,0.0081,0.0009,0.0009,0.0388,0.0005
sigmoid-right,20,20,20,0.0006,0.0006,0.0192,0.0006,0.0291,0.0119,0.0066,0.001,0.001,0.0102,0.001,0.001,0.0448,0.0006
sigmoid-left,0,0,10,0.0002,0.0002,0.0116,0.0001,0.0181,0.007,0.0021,0.0002,0.0002,0.0021,0.0002,0.0002,0.0074,0.0001
sigmoid-left,0,0,20,0.0003,0.0003,0.0154,0.0002,0.0196,0.0082,0.0029,0.0003,0.0003,0.0033,0.0004,0.0004,0.0179,0.0002
sigmoid-left,0,10,0,0.0002,0.0002,0.0121,0.0001,0.0184,0.0072,0.0019,0.0003,0.0003,0.0028,0.0003,0.0003,0.0101,0.0001
sigmoid-left,0,10,10,0.0003,0.0003,0.0158,0.0002,0.0201,0.0081,0.0029,0.0003,0.0003,0.003,0.0004,0.0004,0.0119,0.0002
sigmoid-left,0,10,20,0.0004,0.0004,0.0181,0.0002,0.0211,0.0088,0.0037,0.0004,0.0004,0.0042,0.0006,0.0006,0.0251,0.0002
sigmoid-left,0,20,0,0.0003,0.0003,0.0156,0.0002,0.0198,0.008,0.0028,0.0003,0.0003,0.0029,0.0004,0.0004,0.0171,0.0002
sigmoid-left,0,20,10,0.0003,0.0003,0.0181,0.0002,0.0206,0.0084,0.0036,0.0004,0.0004,0.004,0.0006,0.0006,0.0182,0.0002
sigmoid-left,0,20,20,0.0004,0.0004,0.019,0.0003,0.0223,0.0093,0.0045,0.0005,0.0005,0.0053,0.0007,0.0007,0.0265,0.0003
sigmoid-left,10,0,0,0.0002,0.0002,0.0124,0.0002,0.0186,0.0071,0.0012,0.0004,0.0004,0.003,0.0004,0.0004,0.0129,0.0002
sigmoid-left,10,0,10,0.0003,0.0003,0.0167,0.0002,0.0215,0.0081,0.003,0.0003,0.0003,0.0032,0.0004,0.0004,0.0126,0.0002
sigmoid-left,10,0,20,0.0004,0.0004,0.0182,0.0003,0.0213,0.0086,0.0038,0.0004,0.0004,0.0041,0.0005,0.0005,0.0203,0.0003
sigmoid-left,10,10,0,0.0003,0.0003,0.0158,0.0002,0.022,0.0081,0.0029,0.0004,0.0004,0.0043,0.0005,0.0005,0.0163,0.0002
sigmoid-left,10,10,10,0.0004,0.0004,0.0187,0.0003,0.0206,0.0083,0.0038,0.0004,0.0004,0.004,0.0005,0.0005,0.0165,0.0003
sigmoid-left,10,10,20,0.0004,0.0004,0.019,0.0003,0.023,0.009,0.0046,0.0005,0.0005,0.0054,0.0007,0.0007,0.0253,0.0003
sigmoid-left,10,20,0,0.0004,0.0004,0.0179,0.0003,0.0215,0.0082,0.0037,0.0004,0.0004,0.0042,0.0005,0.0005,0.0212,0.0003
sigmoid-left,10,20,10,0.0004,0.0004,0.0184,0.0003,0.0228,0.0092,0.0046,0.0005,0.0005,0.0053,0.0007,0.0007,0.022,0.0003
sigmoid-left,10,20,20,0.0005,0.0005,0.0195,0.0004,0.026,0.0103,0.0056,0.0006,0.0006,0.0066,0.0009,0.0009,0.0291,0.0004
sigmoid-left,20,0,0,0.0003,0.0003,0.0171,0.0002,0.0206,0.0076,0.0019,0.0005,0.0005,0.0037,0.0005,0.0005,0.0173,0.0002
sigmoid-left,20,0,10,0.0004,0.0004,0.0186,0.0003,0.0215,0.0084,0.0039,0.0004,0.0004,0.0045,0.0005,0.0005,0.0173,0.0003
sigmoid-left,20,0,20,0.0005,0.0005,0.0202,0.0004,0.0229,0.0093,0.0048,0.0005,0.0005,0.0052,0.0007,0.0007,0.0226,0.0004
sigmoid-left,20,10,0,0.0004,0.0004,0.018,0.0003,0.02,0.0083,0.0036,0.0006,0.0006,0.0053,0.0006,0.0006,0.0203,0.0003
sigmoid-left,20,10,10,0.0005,0.0005,0.0193,0.0004,0.0221,0.0092,0.005,0.0005,0.0005,0.0052,0.0006,0.0006,0.0223,0.0004
sigmoid-left,20,10,20,0.0006,0.0006,0.0201,0.0004,0.0252,0.0097,0.006,0.0007,0.0007,0.0069,0.0009,0.0009,0.029,0.0004
sigmoid-left,20,20,0,0.0005,0.0005,0.019,0.0004,0.0229,0.0089,0.005,0.0006,0.0006,0.0056,0.0006,0.0006,0.0254,0.0004
sigmoid-left,20,20,10,0.0006,0.0006,0.0203,0.0004,0.0259,0.0095,0.0061,0.0007,0.0007,0.0068,0.0008,0.0008,0.0287,0.0004
sigmoid-left,20,20,20,0.0007,0.0007,0.0198,0.0005,0.0303,0.011,0.0074,0.0008,0.0008,0.0088,0.0012,0.0012,0.0391,0.0005
sigmoid-tail,0,0,10,0.0003,0.0003,0.0123,0.0002,0.0179,0.007,0.0021,0.0003,0.0003,0.0028,0.0003,0.0003,0.0145,0.0002
sigmoid-tail,0,0,20,0.0003,0.0003,0.0164,0.0003,0.0217,0.0082,0.0029,0.0005,0.0005,0.0036,0.0004,0.0004,0.0197,0.0003
sigmoid-tail,0,10,0,0.0002,0.0002,0.0119,0.0002,0.0183,0.0073,0.0019,0.0004,0.0004,0.003,0.0003,0.0003,0.0144,0.0002
sigmoid-tail,0,10,10,0.0003,0.0003,0.0156,0.0003,0.0208,0.008,0.0027,0.0005,0.0005,0.0038,0.0004,0.0004,0.0202,0.0003
sigmoid-tail,0,10,20,0.0004,0.0004,0.0186,0.0003,0.0203,0.0086,0.0033,0.0006,0.0006,0.0041,0.0005,0.0005,0.0245,0.0003
sigmoid-tail,0,20,0,0.0003,0.0003,0.0162,0.0003,0.0207,0.0082,0.0026,0.0005,0.0005,0.0038,0.0005,0.0005,0.0197,0.0003
sigmoid-tail,0,20,10,0.0004,0.0004,0.0178,0.0004,0.0209,0.0089,0.0032,0.0006,0.0006,0.0041,0.0005,0.0005,0.0266,0.0004
sigmoid-tail,0,20,20,0.0005,0.0005,0.0196,0.0004,0.0233,0.0095,0.0037,0.0007,0.0007,0.0046,0.0006,0.0006,0.0317,0.0004
sigmoid-tail,10,0,0,0.0002,0.0002,0.0126,0.0002,0.019,0.0066,0.0013,0.0004,0.0004,0.0029,0.0004,0.0004,0.013,0.0002
sigmoid-tail,10,0,10,0.0003,0.0003,0.0163,0.0003,0.0209,0.0078,0.0024,0.0005,0.0005,0.0036,0.0004,0.0004,0.0217,0.0003
sigmoid-tail,10,0,20,0.0004,0.0004,0.0192,0.0004,0.0212,0.0083,0.003,0.0006,0.0006,0.0041,0.0005,0.0005,0.0265,0.0004
sigmoid-tail,10,10,0,0.0003,0.0003,0.0162,0.0003,0.0213,0.0078,0.0022,0.0005,0.0005,0.0038,0.0005,0.0005,0.0161,0.0003
sigmoid-tail,10,10,10,0.0004,0.0004,0.0188,0.0004,0.0207,0.0088,0.0029,0.0006,0.0006,0.0043,0.0006,0.0006,0.0275,0.0004
sigmoid-tail,10,10,20,0.0005,0.0005,0.0206,0.0004,0.0228,0.0093,0.0034,0.0007,0.0007,0.0045,0.0006,0.0006,0.0325,0.0004
sigmoid-tail,10,20,0,0.0004,0.0004,0.0192,0.0003,0.0213,0.0083,0.0027,0.0006,0.0006,0.0042,0.0006,0.0006,0.0221,0.0003
sigmoid-tail,10,20,10,0.0005,0.0005,0.0203,0.0004,0.0239,0.0094,0.0036,0.0008,0.0008,0.0048,0.0007,0.0007,0.0328,0.0004
sigmoid-tail,10,20,20,0.0005,0.0005,0.0211,0.0005,0.0251,0.01,0.0041,0.0008,0.0008,0.0049,0.0008,0.0008,0.039,0.0005
