"mech","type","skew","amount","mean","sd","median","iqr"
"MCAR","MCAR","no",0.0061,-0.0034,-0.0023,0.0069,-0.0222
"MCAR","MCAR","yes",0.1468,-0.0096,-0.0912,-3e-04,1e-04
"MCAR","MCAR","diff",-0.1408,-0.0062,-0.0888,-0.0072,0.0223
"MCAR","MCAR","no",0.0051,-0.0036,0.0019,-0.0102,-0.0201
"MCAR","MCAR","yes",0.0923,-0.0213,-0.3628,-0.0031,6e-04
"MCAR","MCAR","diff",-0.0872,-0.0176,-0.3647,0.007,0.0207
"MCAR","MCAR","no",0.0159,0.0033,-0.0061,-7e-04,-0.0187
"MCAR","MCAR","yes",0.1112,0.0057,0.05,0.0019,0.0051
"MCAR","MCAR","diff",-0.0953,0.0024,0.0561,0.0026,0.0238
"MCAR","MCAR","no",0.0093,0.0048,0.0039,0.0019,0.0072
"MCAR","MCAR","yes",0.0931,6e-04,-0.0052,0.0015,-0.0042
"MCAR","MCAR","diff",-0.0838,-0.0043,-0.0091,-4e-04,-0.0114
"MAR","RIGHT","no",-0.0031,-0.2118,-0.0198,-0.2296,-0.0246
"MAR","RIGHT","yes",0.1041,-0.0675,-0.5959,-0.0371,-0.0096
"MAR","RIGHT","diff",-0.1071,0.1443,-0.5761,0.1925,0.015
"MAR","LEFT","no",0.0259,0.1841,-0.0271,0.1928,-0.0322
"MAR","LEFT","yes",0.1007,0.0536,0.2386,0.0358,-0.0085
"MAR","LEFT","diff",-0.0747,-0.1304,0.2657,-0.157,0.0237
"MAR","MID","no",-0.0187,-0.0157,0.0438,-0.0255,0.0543
"MAR","MID","yes",0.1136,0.0024,0.0584,-0.0038,0.0097
"MAR","MID","diff",-0.1322,0.0181,0.0146,0.0216,-0.0446
"MAR","TAIL","no",-0.0403,0.0069,-0.0464,0.0125,-0.0657
"MAR","TAIL","yes",0.0935,-0.0085,-0.0978,-0.002,-0.011
"MAR","TAIL","diff",-0.1337,-0.0154,-0.0514,-0.0145,0.0547
"MNAR","RIGHT","no",-0.011,-0.4061,-0.087,-0.3972,-0.091
"MNAR","RIGHT","yes",0.1028,-0.0477,-0.837,-0.0101,-3e-04
"MNAR","RIGHT","diff",-0.1138,0.3584,-0.7501,0.3871,0.0907
"MNAR","LEFT","no",0.0144,0.4042,-0.082,0.4105,-0.1294
"MNAR","LEFT","yes",0.0842,0.0511,0.4188,0.0275,0.0014
"MNAR","LEFT","diff",-0.0698,-0.3531,0.5008,-0.383,0.1308
"MNAR","MID","no",-0.0138,-0.0038,0.164,-0.0019,0.3922
"MNAR","MID","yes",0.0329,0.0124,0.5538,-0.0114,0.0788
"MNAR","MID","diff",-0.0467,0.0162,0.3897,-0.0094,-0.3134
"MNAR","TAIL","no",0.0178,0.0034,-0.1947,0.0049,-0.3195
"MNAR","TAIL","yes",0.119,-0.0375,-0.8566,8e-04,-0.0033
"MNAR","TAIL","diff",-0.1012,-0.0409,-0.6619,-0.0041,0.3162
"MCAR","MCAR","no",0.0127,-0.0012,0.0013,0.0131,-0.0127
"MCAR","MCAR","yes",0.1025,-1e-04,-0.0215,4e-04,0.0025
"MCAR","MCAR","diff",-0.0898,0.0011,-0.0228,-0.0127,0.0152
"MCAR","MCAR","no",0.0078,-0.0094,0.0032,-0.0051,6e-04
"MCAR","MCAR","yes",0.1059,-0.0022,-0.043,-8e-04,-5e-04
"MCAR","MCAR","diff",-0.0981,0.0072,-0.0462,0.0043,-0.0011
"MCAR","MCAR","no",-0.0079,-0.0038,0.0183,0.0013,0.0251
"MCAR","MCAR","yes",0.099,-0.0152,-0.2738,0.0012,4e-04
"MCAR","MCAR","diff",-0.1069,-0.0113,-0.2921,-1e-04,-0.0247
"MCAR","MCAR","no",-0.0231,-0.019,0.0149,-0.0171,0.0292
"MCAR","MCAR","yes",0.0964,6e-04,-0.0351,8e-04,-0.0048
"MCAR","MCAR","diff",-0.1195,0.0196,-0.05,0.0179,-0.034
"MAR","RIGHT","no",0.0029,-0.2137,-0.0188,-0.2088,-0.0213
"MAR","RIGHT","yes",0.1091,-0.0624,-0.5963,-0.0305,8e-04
"MAR","RIGHT","diff",-0.1062,0.1512,-0.5775,0.1783,0.0221
"MAR","LEFT","no",-0.0114,0.219,-0.0209,0.2189,-0.0537
"MAR","LEFT","yes",0.1027,0.0509,0.23,0.0322,-0.0085
"MAR","LEFT","diff",-0.1141,-0.1681,0.2509,-0.1867,0.0452
"MAR","MID","no",-0.0112,0.0182,0.0494,0.0106,0.0542
"MAR","MID","yes",0.1146,0.0115,0.1165,0.0018,0.0118
"MAR","MID","diff",-0.1258,-0.0067,0.0671,-0.0087,-0.0424
"MAR","TAIL","no",-0.0327,1e-04,-0.0481,0,-0.071
"MAR","TAIL","yes",0.1153,-0.018,-0.2347,-6e-04,-0.0053
"MAR","TAIL","diff",-0.148,-0.0181,-0.1866,-6e-04,0.0657
"MNAR","RIGHT","no",0.0203,-0.4232,-0.0927,-0.4115,-0.1618
"MNAR","RIGHT","yes",0.1039,-0.0439,-0.8276,-0.0103,3e-04
"MNAR","RIGHT","diff",-0.0836,0.3793,-0.7349,0.4012,0.1621
"MNAR","LEFT","no",0.0329,0.4087,-0.0691,0.4146,-0.1041
"MNAR","LEFT","yes",0.1664,0.065,0.4341,0.0069,0.0017
"MNAR","LEFT","diff",-0.1335,-0.3437,0.5032,-0.4077,0.1058
"MNAR","MID","no",0.0019,0.0082,0.1618,0.0153,0.3648
"MNAR","MID","yes",0.1007,0.0608,0.6783,-0.0059,0.0133
"MNAR","MID","diff",-0.0988,0.0526,0.5165,-0.0212,-0.3515
"MNAR","TAIL","no",-0.0099,-0.0054,-0.1975,-0.0062,-0.2862
"MNAR","TAIL","yes",0.1257,-0.0404,-0.8655,0.002,-0.005
"MNAR","TAIL","diff",-0.1356,-0.035,-0.6681,0.0082,0.2811
"MCAR","MCAR","no",-0.0063,0.0016,8e-04,0.0035,-0.0095
"MCAR","MCAR","yes",0.0852,0.0036,0.0387,0.0011,-0.0031
"MCAR","MCAR","diff",-0.0915,0.002,0.0379,-0.0024,0.0064
"MCAR","MCAR","no",0.0036,-0.013,0.0126,-0.0147,-0.0132
"MCAR","MCAR","yes",0.1131,0.0183,0.2073,0.001,0.0011
"MCAR","MCAR","diff",-0.1095,0.0313,0.1947,0.0157,0.0142
"MCAR","MCAR","no",-0.0432,-3e-04,0.0044,0.0157,-0.002
"MCAR","MCAR","yes",0.0882,0.0014,0.0497,-0.002,0.002
"MCAR","MCAR","diff",-0.1314,0.0017,0.0453,-0.0177,0.004
"MCAR","MCAR","no",0.0164,-0.0073,0.0032,0.0092,-0.0068
"MCAR","MCAR","yes",0.142,0.002,0.0151,4e-04,8e-04
"MCAR","MCAR","diff",-0.1256,0.0093,0.012,-0.0088,0.0077
"MAR","RIGHT","no",-0.011,-0.2076,-0.0168,-0.2033,-0.0287
"MAR","RIGHT","yes",0.0789,-0.0739,-0.7924,-0.0479,-0.0093
"MAR","RIGHT","diff",-0.09,0.1337,-0.7756,0.1554,0.0194
"MAR","LEFT","no",-0.006,0.1876,-0.0182,0.1693,-0.0261
"MAR","LEFT","yes",0.0853,0.0465,0.1422,0.0347,4e-04
"MAR","LEFT","diff",-0.0913,-0.1411,0.1604,-0.1346,0.0265
"MAR","MID","no",-0.0251,-0.0087,0.0399,-0.0128,0.0633
"MAR","MID","yes",0.0868,0.0057,0.0954,-7e-04,0.0154
"MAR","MID","diff",-0.1118,0.0144,0.0555,0.0121,-0.0478
"MAR","TAIL","no",-0.0189,0.0146,-0.0453,0.0157,-0.0642
"MAR","TAIL","yes",0.1057,-0.0114,-0.2221,0.0062,-0.0033
"MAR","TAIL","diff",-0.1246,-0.0261,-0.1767,-0.0095,0.0609
"MNAR","RIGHT","no",0.012,-0.405,-0.0849,-0.4066,-0.1432
"MNAR","RIGHT","yes",0.1066,-0.0469,-0.8385,-0.0082,-2e-04
"MNAR","RIGHT","diff",-0.0945,0.3582,-0.7535,0.3984,0.1431
"MNAR","LEFT","no",-0.0109,0.4257,-0.0999,0.4263,-0.144
"MNAR","LEFT","yes",0.1323,0.0536,0.4199,0.0057,-3e-04
"MNAR","LEFT","diff",-0.1432,-0.372,0.5199,-0.4206,0.1438
"MNAR","MID","no",-0.0106,-0.0053,0.1608,0.0029,0.4208
"MNAR","MID","yes",0.1109,0.0698,0.6945,-0.0057,0.013
"MNAR","MID","diff",-0.1215,0.0751,0.5336,-0.0085,-0.4078
"MNAR","TAIL","no",0.0076,-0.004,-0.2043,-0.0019,-0.3052
"MNAR","TAIL","yes",0.1017,-0.0322,-0.8314,0.0013,-0.0079
"MNAR","TAIL","diff",-0.0941,-0.0282,-0.627,0.0032,0.2973
"MCAR","MCAR","no",0.0104,-0.0082,0.0103,-0.0087,0.0275
"MCAR","MCAR","yes",0.1022,-0.0023,6e-04,-0.0023,6e-04
"MCAR","MCAR","diff",-0.0918,0.0058,-0.0097,0.0064,-0.0269
"MCAR","MCAR","no",0.0264,0.0015,-0.0045,0.0019,-0.0116
"MCAR","MCAR","yes",0.1274,-0.0127,-0.1784,1e-04,-0.0017
"MCAR","MCAR","diff",-0.1009,-0.0142,-0.1739,-0.0018,0.0099
"MCAR","MCAR","no",0.0031,0.0068,-0.0016,-0.0025,-0.0069
"MCAR","MCAR","yes",0.1009,0.0078,0.0727,7e-04,0.0017
"MCAR","MCAR","diff",-0.0978,0.0011,0.0743,0.0032,0.0086
"MCAR","MCAR","no",0.0226,0.0065,0.0027,0.0113,-0.0022
"MCAR","MCAR","yes",0.1367,6e-04,0.0333,2e-04,0.0041
"MCAR","MCAR","diff",-0.1141,-0.0059,0.0307,-0.0111,0.0062
